IDT(μs),H2,O2,N2,T(K),P(atm)
771.5,3.33,1.667,0,1213.4,10
604.54,3.33,1.667,0,1239,10
482.26,3.33,1.667,0,1262.3,10
292.65,3.33,1.667,0,1311.3,10
71.33,3.33,1.667,0,1440.7,10
26.29,3.33,1.667,0,1553,10
5902,15,18,0,858,2.79
5433,15,18,0,889,3.91
4610,15,18,0,901,3.79
3207,15,18,0,905,3.08
4045,15,18,0,935,3.87
2647,15,18,0,958,3.44
1952,15,18,0,964,2.82
109,15,18,0,1026,2.74
93,15,18,0,1035,3.22
6223,4,2,0,960,4.33
4308,4,2,0,974,4.27
1693,4,2,0,983,3.18
426,4,2,0,1031,3.99
426,4,2,0,1040,3.09
217,4,2,0,1077,3.97
183,4,2,0,1082,5.11
160,4,2,0,1095,5.44
110,4,2,0,1119,5.41
87,4,2,0,1131,4.68
1930.4,5.917,2.959,0,915.1,1.23
753.5,5.917,2.959,0,987.3,1.2
476.7,5.917,2.959,0,1050.4,1.25
396.6,5.917,2.959,0,1084.4,1.26
298.5,5.917,2.959,0,1124.6,1.29
247.8,5.917,2.959,0,1149.5,1.22
260.4,5.917,2.959,0,1163.2,1.23
179.2,5.917,2.959,0,1214.8,1.22
141.4,5.917,2.959,0,1253.9,1.23
105,5.917,2.959,0,1317,1.24
108.4,5.917,2.959,0,1335.8,1.25
83.4,5.917,2.959,0,1384.3,1.24
67.5,5.917,2.959,0,1456.7,1.27
3225.1,5.917,2.959,0,962,4.23
1133.9,5.917,2.959,0,1002.5,4.17
621,5.917,2.959,0,1016.4,4.11
307.5,5.917,2.959,0,1045.9,4.13
227.9,5.917,2.959,0,1066,4.06
147.3,5.917,2.959,0,1089.2,4.1
89.5,5.917,2.959,0,1151,4.25
71,5.917,2.959,0,1227.3,4.7
1756.7,5.917,2.959,0,1028.6,16.63
1575.5,5.917,2.959,0,1038.9,16.32
992.1,5.917,2.959,0,1077.1,16.36
1241.3,5.917,2.959,0,1082.4,16.2
433.4,5.917,2.959,0,1117.2,16.19
263.2,5.917,2.959,0,1137.1,16.23
114.1,5.917,2.959,0,1150.1,16.63
42.2,5.917,2.959,0,1177.7,16.07
22.2,5.917,2.959,0,1230.4,16.23
14.9,5.917,2.959,0,1244.7,16.71
15.8,5.917,2.959,0,1249.2,16.73
